===========================================================================
DEBUG INFORMATION:: SENSOR BUFFER
---------------------------------------------------------------------------
Sensor ID....................... {479dae9c-373d-4871-9ec8-fbf37161e2f4}
Buffer Size................................................... 256
---------------------------------------------------------------------------
Buffer[0000].................................................. AB
Buffer[0001].................................................. CD
Buffer[0002].................................................. 00
Buffer[0003].................................................. FB
Buffer[0004].................................................. 4A
Buffer[0005].................................................. 42
Buffer[0006].................................................. 00
Buffer[0007].................................................. 1B
Buffer[0008].................................................. 01
Buffer[0009].................................................. 00
Buffer[0010].................................................. 02
Buffer[0011].................................................. 0C
Buffer[0012].................................................. 0E
Buffer[0013].................................................. 16
Buffer[0014].................................................. 08
Buffer[0015].................................................. 08
Buffer[0016].................................................. 06
Buffer[0017].................................................. 1D
Buffer[0018].................................................. 08
Buffer[0019].................................................. 05
Buffer[0020].................................................. 00
Buffer[0021].................................................. 1B
Buffer[0022].................................................. 00
Buffer[0023].................................................. 00
Buffer[0024].................................................. 00
Buffer[0025].................................................. 0C
Buffer[0026].................................................. 00
Buffer[0027].................................................. 00
Buffer[0028].................................................. 01
Buffer[0029].................................................. 08
Buffer[0030].................................................. 4A
Buffer[0031].................................................. 4D
Buffer[0032].................................................. 42
Buffer[0033].................................................. 00
Buffer[0034].................................................. B3
Buffer[0035].................................................. D4
Buffer[0036].................................................. 03
Buffer[0037].................................................. 67
Buffer[0038].................................................. FF
Buffer[0039].................................................. A0
Buffer[0040].................................................. FF
Buffer[0041].................................................. 41
Buffer[0042].................................................. 00
Buffer[0043].................................................. 02
Buffer[0044].................................................. 00
Buffer[0045].................................................. 00
Buffer[0046].................................................. 00
Buffer[0047].................................................. 00
Buffer[0048].................................................. 00
Buffer[0049].................................................. 00
Buffer[0050].................................................. 46
Buffer[0051].................................................. 50
Buffer[0052].................................................. 00
Buffer[0053].................................................. FF
Buffer[0054].................................................. FF
Buffer[0055].................................................. FF
Buffer[0056].................................................. A0
Buffer[0057].................................................. 00
Buffer[0058].................................................. 00
Buffer[0059].................................................. 03
Buffer[0060].................................................. 67
Buffer[0061].................................................. 00
Buffer[0062].................................................. 2D
Buffer[0063].................................................. 12
Buffer[0064].................................................. D6
Buffer[0065].................................................. 03
Buffer[0066].................................................. A0
Buffer[0067].................................................. 00
Buffer[0068].................................................. 82
Buffer[0069].................................................. 00
Buffer[0070].................................................. D7
Buffer[0071].................................................. 00
Buffer[0072].................................................. 08
Buffer[0073].................................................. 00
Buffer[0074].................................................. 00
Buffer[0075].................................................. 00
Buffer[0076].................................................. 00
Buffer[0077].................................................. 00
Buffer[0078].................................................. 00
Buffer[0079].................................................. 00
Buffer[0080].................................................. 11
Buffer[0081].................................................. 00
Buffer[0082].................................................. 00
Buffer[0083].................................................. 00
Buffer[0084].................................................. 00
Buffer[0085].................................................. 82
Buffer[0086].................................................. 00
Buffer[0087].................................................. 00
Buffer[0088].................................................. 03
Buffer[0089].................................................. A0
Buffer[0090].................................................. 00
Buffer[0091].................................................. 31
Buffer[0092].................................................. 12
Buffer[0093].................................................. D0
Buffer[0094].................................................. 03
Buffer[0095].................................................. D2
Buffer[0096].................................................. FF
Buffer[0097].................................................. 91
Buffer[0098].................................................. FE
Buffer[0099].................................................. E1
Buffer[0100].................................................. 00
